oldid,genre_ids,id,popularity,title,revenue
5927,"[12, 14, 18, 10749]",50620,96.023,The Twilight Saga: Breaking Dawn - Part 2,829747654
56,"[28, 878, 12]",27205,74.425,Inception,825532764
2345,"[28, 12, 14]",297762,70.038,Wonder Woman,822854286
2311,"[14, 28]",557,80.326,Spider-Man,821708551
4068,"[28, 12, 878]",602,34.992,Independence Day,817400891
6912,"[14, 12, 16, 35, 10751]",810,80.621,Shrek the Third,813367380
1930,"[28, 12, 14]",259316,70.402,Fantastic Beasts and Where to Find Them,809342332
122,"[10751, 16, 14, 10402, 35, 12]",354912,166.068,Coco,800526015
3604,"[12, 35, 14]",512200,65.079,Jumanji: The Next Level,800059707
5101,"[12, 28, 14]",166426,59.554,Pirates of the Caribbean: Dead Men Tell No Tales,794861794
1339,"[878, 12, 10751, 14]",601,36.185,E.T. the Extra-Terrestrial,792965500
1711,"[28, 12]",353081,59.348,Mission: Impossible - Fallout,791657398
8846,"[28, 12, 878]",14161,82.801,2012,791217826
298,"[12, 14]",673,180.313,Harry Potter and the Prisoner of Azkaban,789804554
4253,"[28, 53, 80]",82992,9.504,Fast & Furious 6,788680968
8264,"[12, 28]",217,48.34,Indiana Jones and the Kingdom of the Crystal Skull,786636033
1388,"[28, 35, 12]",383498,94.196,Deadpool 2,786365638
2420,"[28, 12, 14]",558,31.092,Spider-Man 2,783766341
1049,"[28, 12, 35]",293660,112.153,Deadpool,783100000
133,"[12, 28, 878]",11,71.026,Star Wars,775398007
1549,"[12, 28, 53]",370172,102.524,No Time to Die,774153007
451,"[28, 878, 12]",118340,67.789,Guardians of the Galaxy,772776600
815,"[80, 9648, 53]",414906,350.79,The Batman,770836163
4743,"[53, 9648]",591,31.717,The Da Vinci Code,767820459
103,"[10751, 16, 18]",8587,135.994,The Lion King,763455561
4019,"[28, 12, 35]",384018,87.195,Fast & Furious Presents: Hobbs & Shaw,760098996
4810,"[14, 28, 35]",616037,558.221,Thor: Love and Thunder,760000000
3010,"[14, 12, 28, 10751, 10749]",102651,94.174,Maleficent,758539785
4920,"[28, 12, 14]",1930,86.638,The Amazing Spider-Man,757930663
4335,"[878, 12, 53]",131631,104.763,The Hunger Games: Mockingjay - Part 1,755356711
5304,"[28, 12, 878]",49521,72.009,Man of Steel,754045518
6673,"[35, 12, 14, 16, 10751]",10192,98.139,Shrek Forever After,752600867
1271,"[28, 12, 878]",127585,60.362,X-Men: Days of Future Past,747862775
5338,"[16, 10751, 35, 12]",80321,52.663,Madagascar 3: Europe's Most Wanted,746921274
8463,"[28, 12, 14]",297761,49.798,Suicide Squad,746846894
2971,"[12, 10751, 14]",411,97.541,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115
3255,"[16, 10751]",62211,68.551,Monsters University,743559607
440,"[16, 14, 12]",615453,21.324,Ne Zha,742500000
3270,"[12, 28, 53, 878]",604,49.427,The Matrix Reloaded,738599701
393,"[16, 35, 10751, 12]",14160,80.153,Up,735099082
1236,"[28, 12, 878]",505642,2248.449,Black Panther: Wakanda Forever,733000000
2401,"[28, 12, 80, 53]",385128,120.261,F9,726229501
2696,"[878, 53, 18]",49047,29.053,Gravity,723192705
874,"[28, 12, 878]",100402,38.569,Captain America: The Winter Soldier,714766572
7191,"[12, 14, 10749]",50619,81.36,The Twilight Saga: Breaking Dawn - Part 1,712171856
2120,"[878, 28, 18, 53]",119450,80.579,Dawn of the Planet of the Apes,710644566
8108,"[12, 14, 18, 10749]",18239,63.914,The Twilight Saga: New Moon,709827462
4563,"[12, 878, 28]",1858,40.682,Transformers,709709780
5880,"[28, 12, 14]",102382,92.64,The Amazing Spider-Man 2,708962323
2368,"[27, 14]",346364,62.695,It,701842551
44,"[12, 18, 878]",157336,129.328,Interstellar,701729206
7138,"[12, 14, 18, 10749]",24021,102.038,The Twilight Saga: Eclipse,698491347
3181,"[28, 53, 12]",56292,45.032,Mission: Impossible - Ghost Protocol,694713380
2596,"[878, 12, 14]",70160,40.088,The Hunger Games,694394724
1138,"[12, 35, 10751, 16]",277834,23.162,Moana,690860472
2624,"[28, 12]",177677,35.594,Mission: Impossible - Rogue Nation,682716636
1617,"[28, 12, 14]",284052,67.513,Doctor Strange,677796076
18,"[35, 18, 10749]",13,57.434,Forrest Gump,677387716
394,"[9648, 53, 18]",745,31.772,The Sixth Sense,672806292
